id,n_base,authorMeta/digg,authorMeta/fans,authorMeta/following,authorMeta/heart,authorMeta/name,authorMeta/nickName,authorMeta/profileUrl,authorMeta/signature,authorMeta/video,shareCount,playCount,diggCount,collectCount,des,createTimeISO,webVideoUrl,webVideoUrlc,funciona ,des.1,idt,Unnamed: 22,Unnamed: 23,memo_id,actividad,auditivo,cartel,comentarios_x,eauditivo,eauditvo,evisual,intencion,lugar,notas,otro,actividad.alarde,actividad.apologiad,actividad.comedia,actividad.concierto,actividad.declaracionpertenencia,actividad.entrevista,actividad.fiesta,actividad.homenaje,actividad.noticia,actividad.opinion,actividad.postenfrentamiento,actividad.proejercito,actividad.puntero,actividad.recorrido,actividad.replica,actividad.tareas,actividad.vental,actividad.videojuego,actividad.videomusical,auditivo.audioviral,auditivo.comunicaciontactica,cartel.2r,cartel.caf,cartel.cdnz,cartel.cds,cartel.chap,cartel.chapo,cartel.cjng,cartel.gobierno,cartel.mayitos,cartel.mencho,cartel.mz,cartel.ncdj,cartel.no,cartel.noreste,cartel.tropainfierno,cartel.vicentezambada,cartel.zetas,comentarios_y,comentarios.gral,comentarios.menciongco,comentarios.reclutamiento,auditivo.audiovid,auditivo.locucion,auditivo.musica,auditivo.musica_belica,auditivo.no,auditivo.narcocorrido,evisual.altar,evisual.armasv,evisual.baile,evisual.convoy,evisual.dañosbelicos,evisual.dinero,evisual.grabaciónprograma,evisual.meme,evisual.mouthsmah,evisual.mujeres,evisual.no,evisual.radio,evisual.repost,evisual.ropa,evisual.siglasv,evisual.texto,evisual.uniformesv,evisual.vidorginal,intencion.alertar,intencion.burlavs,intencion.ciudadano,intencion.comercio,intencion.esvida,intencion.glorificacion,intencion.gobierno,intencion.identidad,intencion.imitacion,intencion.informar,intencion.ironizar,intencion.legitmiacion,intencion.miedo,intencion.propaganda,intencion.queja,intencion.reclutamiento,intencion.visibilidad,lugar.cln,lugar.gdl,lugar.slp,lugar.tjn,notas.ejemplo,otro.serietv,evisual.conduccion,actividad.,evisual.despliegue,intencion.acusar,lugar.tuxtlag,evisual.alcohol,cartel.golfo,cartel.chukys,evisual.joyas,lugar.nl,lugar.sonora,lugar.durango,auditivo.balazos,evisual.niños,lugar.nayarit,lugar.clya,otro.trend,cartel.ruso,lugar.usa,cartel.cartlgdl,lugar.bjc,lugar.cdmx,actividad.actividad,cartel.desinaloa,cartel.jaliscong,cartel.neste,cartel.nz,cartel.mayizamz,cartel.chapizachapo,evisual.vehiculos,evisual.inmuebles,lugar.jal,lugar.chiap,union
1,1,4944,1043,1492,7579,el27cpm,EL27cpm,https://www.tiktok.com/@el27cpm,"MI ID ZU350107 
ÚNETE A LA GN @guardianacionalcpm",47,1,2519,75,7,😈#tropadelinfierno #nuevolaredo #raptor #foryou #ford #beliko ,2024-09-13T03:58:47.000Z,https://www.tiktok.com/@el27cpm/video/7413972203248635142,https://www.tiktok.com/@el27cpm/video/7413972203248635142,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,1,771,80800,5,3200000,sinemaniaa,sinemania,https://www.tiktok.com/@sinemaniaa,Film önerisi için takip et 🍿,1017,561,774300,27900,3335,Narcos #filmkolikbiri #filmkesitleri #filmizlesene #filmlerdensahneler #filmegitmedenönce #filmkesitleri #filmtavsiyeleri #sinemaniatiktokta #bugünneizlesem #keşfet #keşfetbeni #keşfetteyizzz ,2024-09-17T21:38:10.000Z,https://www.tiktok.com/@sinemaniaa/video/7415729507950169351,https://www.tiktok.com/@sinemaniaa/video/7415729507950169351,1,1,2,,,2,,,,,,,,,,,ID: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,30400,2846,9728,22300,carboncito666,Alejandro Martínez,https://www.tiktok.com/@carboncito666,🍫la chokiza🍫,533,2,2638,94,12,#parati #gtasanandreas #fiction 👿😈000666 tropa del infierno ,2023-10-13T23:10:24.000Z,https://www.tiktok.com/@carboncito666/video/7289584371063885062,https://www.tiktok.com/@carboncito666/video/7289584371063885062,1,1,3,,,3,ID: 3,,Zetas,Notas,Auditivo: Musica Belica,,Siglas; Uniformes; armas; carros,Imitación; propaganda; reclutamiento,Virtual,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4,1,6,9536,18,37200,dvttrucking,DVTtrucking,https://www.tiktok.com/@dvttrucking,Small trucking company. 48 states. Reefer.,4,2641,586700,25200,2338,⚠️ Hiring CDL driver. Min 2 year experience. #cdllife #cdldriver #truckinglifestyle #truckingjobs #truckingjobsusa #cdl #truckinglife #hiringnow #utah #kansas #georgia #allstates ,2024-04-18T15:55:24.000Z,https://www.tiktok.com/@dvttrucking/video/7359236235493117227,https://www.tiktok.com/@dvttrucking/video/7359236235493117227,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1,26000,24100,7027,258100,wildtamale,Sondra Alvarez,https://www.tiktok.com/@wildtamale,"I will mostly show my top hobby. my animals, guns, motorcycle, skid steer.",361,13600,2900000,133800,3596,#cdl #cdllife #cdldriver #cdlstudent #cdlschool #cdltest #CDL #truckingschool #truckdriver #ladytrucker #ladycdldriver #trucksoftiktok #truck,2022-02-01T11:56:20.000Z,https://www.tiktok.com/@wildtamale/video/7059708940971543855,https://www.tiktok.com/@wildtamale/video/7059708940971543855,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,1,33700,1233,205,19900,mannyr_official,Menooo,https://www.tiktok.com/@mannyr_official,"booking
(626)422-8181 📲
Accordion and sexto 
O 
Goupo cmpeto @EstiloElegante",21,18,13600,4734,37,El patrón MZ - ESTILO ELEGANTE 🚀🔥 #parati #fyp #groupo #banda #cuhh #mexican #IE #groupoarriesgado #edicionespecial #codigofn #elraton #elpatronmz #elmz #BUCHONA #redbottoms #rekinto #toloche #corridos #corridosbelicos #corridosvip #corridostumbados #belicoasunto #sinaloa #lostucanesdetijuana ,2023-02-21T00:59:05.000Z,https://www.tiktok.com/@mannyr_official/video/7202407334209981738,https://www.tiktok.com/@mannyr_official/video/7202407334209981738,1,1,6,,,6,ID: 6,,Cartel; MZ,,,narcorrido,camionetas,glorificacion; identidad,-,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
7,1,118800,5200000,963,113700000,kevin._amf,Kevin Moreno,https://www.tiktok.com/@kevin._amf,🍓👑THE RICH KID👑🍓,105,6089,10400000,1300000,72500,Riky riconnn🍓💎#fyp #dembowfreson #viral #parati #cancion #mexico #fypage #dembow#cln #dg#pg#kevinamf,2023-12-15T00:44:01.000Z,https://www.tiktok.com/@kevin._amf/video/7312615766703000838,https://www.tiktok.com/@kevin._amf/video/7312615766703000838,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,1,1356,560,526,2829,dj_krl0s,DJCARLOS,https://www.tiktok.com/@dj_krl0s,"Wilmington NC
DjCarlos 
El Salvador",67,6,2462,54,2,Dj carlos Sabados en Amplify Wilmington nc,2023-01-26T02:00:46.000Z,https://www.tiktok.com/@dj_krl0s/video/7192775008874384686,https://www.tiktok.com/@dj_krl0s/video/7192775008874384686,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,1,6614,31500,924,1100000,maryrt00,𝑀𝒶𝓇𝓎 𝑅𝒯,https://www.tiktok.com/@maryrt00,"🇲🇽☬༒ ɢᴜᴀɴᴀᴊᴜᴀᴛᴏ ༒☬🇲🇽
🌵ᴅᴏɴᴅᴇ  ʟᴀ ᴠɪᴅᴀ ɴᴏ ᴠᴀʟᴇ ɴᴀᴅᴀ🌵
Nueva Cuenta @rtmary2",1008,1555,572300,33700,4969,Soy 4 letras 🍻 #losalegresdelbarranco #cuatroletras #corridosperrones #soy4letras #regional_mx #paratimusica #fypシ #fyp ,2023-08-15T02:45:11.000Z,https://www.tiktok.com/@maryrt00/video/7267374581818592554,https://www.tiktok.com/@maryrt00/video/7267374581818592554,1,1,9,,,9,ID: 9,,-,comentarios del video ponen a este tiktok relacionado al CJNG,,narcorrido,-,identidad; legitmiacion,-,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,252900,230900,162,40600000,xx_danaaa,Dana⭐️,https://www.tiktok.com/@xx_danaaa,IG: xx_danaaa,96,2631,1700000,204400,7641,#quenoloveamipapá,2022-05-27T21:05:57.000Z,https://www.tiktok.com/@xx_danaaa/video/7102525376689147141,https://www.tiktok.com/@xx_danaaa/video/7102525376689147141,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
